City,Country,Longitude,Latitude,Humidity,Minimum Temperature,Maximum Temperature,Wind Speed,Cloudiness,Date
Dwarka,IN,77.04,28.58,53,71.6,71.6,6.93,20,1553360400
Uige,AO,15.06,-7.61,97,65.65,65.65,2.28,88,1553362240
Hit,IQ,42.83,33.64,60,58.0,58.0,9.22,44,1553362449
Kasungu,MW,33.48,-13.04,78,71.95,71.95,7.65,44,1553362449
Singaraja,ID,115.08,-8.11,100,73.03,73.03,1.95,88,1553362449
Khani,GE,42.96,41.96,100,44.6,44.6,9.17,90,1553360400
Obihiro,JP,143.2,42.92,49,0.94,0.94,2.62,0,1553362449
Naze,NG,7.07,5.43,66,89.6,89.6,4.7,75,1553356800
Paita,PE,-81.11,-5.09,290,62.6,62.6,8.88,0,1553360400
Sirur,IN,74.38,18.83,38,72.04,72.04,7.76,0,1553362450
Kieta,PG,155.63,-6.22,98,79.06,79.06,2.28,80,1553362450
Nileshwar,IN,75.1,12.25,98,84.19,84.19,7.65,32,1553362450
Enshi,CN,109.48,30.29,96,37.3,37.3,1.72,92,1553362451
Mantua,IT,10.79,45.16,28,48.0,69.8,2.24,0,1553362207
Yulara,AU,130.99,-25.24,32,82.4,82.4,12.75,56,1553360400
Katherine,AU,132.26,-14.47,83,78.8,78.8,2.95,90,1553360400
Kaka,TM,59.62,37.35,96,33.7,33.7,2.51,0,1553362451
Lavrentiya,RU,-170.99,65.58,100,14.17,14.17,10.0,92,1553362285
Bose,IT,8.01,45.46,18,59.0,70.0,2.24,0,1553362443
Cartagena,ES,-1.0,37.63,82,59.0,62.01,11.41,20,1553362349
Hofn,IS,-15.21,64.25,100,37.48,37.48,9.22,92,1553362452
Oranjestad,AW,-70.03,12.52,66,86.0,86.0,18.34,75,1553360400
Wagar,US,-87.99,31.44,35,70.0,71.01,1.01,0,1553362345
Inhambane,MZ,35.38,-23.87,94,75.2,75.2,3.36,40,1553360400
Morden,CA,-98.1,49.19,90,35.6,42.8,11.41,1,1553362289
Ballina,IE,-9.15,54.11,70,44.6,46.4,10.29,90,1553362208
Bettendorf,US,-90.51,41.53,50,46.0,53.01,9.17,1,1553362202
Tabou,CI,-7.36,4.42,93,84.28,84.28,7.2,44,1553362047
Shalinskoye,RU,93.76,55.72,79,21.37,21.37,2.62,36,1553362456
Pithiviers,FR,2.25,48.17,66,51.8,55.99,8.05,0,1553362420
Gorontalo,ID,123.06,0.54,95,72.13,72.13,2.17,24,1553362456
Pitanga,BR,-51.76,-24.76,62,79.78,79.78,3.4,0,1553362456
Grindavik,IS,-22.43,63.84,93,37.4,41.0,19.46,75,1553362298
Pisco,PE,-76.2,-13.71,30,71.6,71.6,9.17,0,1553360400
Taltal,CL,-70.49,-25.41,75,71.05,71.05,3.74,0,1553362457
Olavarria,AR,-60.32,-36.89,57,77.44,77.44,17.94,0,1553362229
Acurenam,GA,10.67,1.03,91,74.38,74.38,3.96,88,1553362457
Gemena,CD,19.78,3.25,91,71.59,71.59,3.62,76,1553362457
Maputo,MZ,32.57,-25.97,74,80.6,80.6,6.93,20,1553360400
Susangerd,IR,48.19,31.56,22,75.2,75.2,2.24,40,1553360400
Bowen,AU,148.25,-20.01,94,75.0,75.2,3.36,88,1553362185
Iquitos,PE,-73.25,-3.75,319,42.8,42.8,3.36,75,1553360400
Neustadt,CH,8.31,47.05,39,50.0,62.6,1.16,0,1553362279
Jining,CN,116.58,35.41,63,29.02,29.02,2.84,12,1553362300
Shimoda,JP,138.93,34.7,91,28.99,28.99,5.19,0,1553361774
Aykhal,RU,111.51,65.95,59,-3.57,-3.57,8.32,64,1553362461
Vestmannaeyjar,IS,-20.27,63.44,86,39.2,39.2,18.34,75,1553360400
Gisborne,NZ,178.02,-38.66,98,57.99,57.99,4.74,8,1553362213
Morondava,MG,44.28,-20.3,77,85.27,85.27,5.75,20,1553362338
Acajutla,SV,-89.83,13.59,44,89.14,89.14,3.62,0,1553362447
Nagato,JP,131.14,34.35,45,43.0,46.4,13.87,75,1553361751
Shymkent,KZ,69.59,42.31,81,48.2,48.2,6.71,90,1553360400
Ariquemes,BR,-63.03,-9.91,97,73.12,73.12,2.95,92,1553362462
Pangnirtung,CA,-65.72,66.15,70,-0.41,-0.41,20.8,90,1553360400
Kaeo,NZ,173.78,-35.1,95,55.99,55.99,2.84,0,1553360885
Thinadhoo,MV,72.93,0.53,100,85.9,85.9,7.65,32,1553362300
Caravelas,BR,-39.27,-17.73,100,80.05,80.05,21.52,92,1553362301
Orlik,RU,99.83,52.51,72,21.01,21.01,5.19,76,1553362463
Chimbote,PE,-78.59,-9.08,79,74.2,74.2,4.74,32,1553362463
Husavik,CA,-96.99,50.56,63,39.99,39.99,10.0,0,1553362253
At-Bashi,KG,75.81,41.17,78,15.97,15.97,2.84,24,1553362463
Madisonville,US,-87.5,37.33,32,51.8,57.0,6.64,1,1553362313
Farafangana,MG,47.83,-22.82,100,75.64,75.64,7.2,76,1553362463
Wawa,NG,4.41,9.9,29,92.56,92.56,3.96,0,1553362288
Keller,US,-97.23,32.93,72,62.6,66.2,18.34,90,1553362206
Broome,GB,1.45,52.47,57,46.0,50.0,6.93,0,1553362326
Tazmalt,DZ,4.4,36.39,82,57.0,60.8,4.7,40,1553361876
Kantang,TH,99.52,7.42,100,81.67,81.67,4.52,0,1553362464
Maragogi,BR,-35.22,-9.01,100,84.28,84.28,9.66,0,1553362332
Longyearbyen,NO,15.63,78.22,73,21.2,21.2,10.29,75,1553359800
Wattegama,LK,80.68,7.35,93,68.98,68.98,2.51,12,1553362464
Pierre,US,-100.35,44.37,75,42.01,42.8,8.05,90,1553362166
Diamantino,BR,-56.44,-14.4,71,87.34,87.34,3.96,0,1553362464
Lasa,CY,32.53,34.92,82,53.01,60.8,1.12,20,1553362253
Pringsewu,ID,104.98,-5.36,89,74.92,74.92,2.39,20,1553362465
Poum,MK,20.71,41.28,25,60.8,60.8,8.05,20,1553358600
Ambilobe,MG,49.05,-13.19,97,74.92,74.92,2.39,80,1553362262
Calabozo,VE,-67.43,8.92,33,97.51,97.51,13.8,0,1553362465
Donskoye,RU,41.98,45.45,88,32.0,32.0,11.18,40,1553360400
Nabire,ID,135.5,-3.36,96,69.07,69.07,1.39,68,1553362382
Bethel,US,-161.76,60.79,80,33.8,35.6,6.93,75,1553360160
Maceio,BR,-35.74,-9.67,55,91.4,91.4,16.11,40,1553360400
Troitsko-Pechorsk,RU,56.19,62.71,86,22.27,22.27,5.3,48,1553362469
Kommunar,RU,30.39,59.62,80,37.99,39.2,8.95,75,1553362235
Redmond,US,-122.12,47.67,81,48.99,54.0,3.18,1,1553362266
Sibolga,ID,98.78,1.74,100,69.52,69.52,0.94,56,1553362309
Jizan,SA,42.56,16.89,66,86.0,86.0,8.05,0,1553356800
Muros,ES,-9.06,42.77,37,61.0,71.01,6.93,20,1553362273
Sol-Iletsk,RU,55.0,51.16,81,21.46,21.46,6.53,20,1553362470
Tambovka,UA,35.45,46.93,64,40.09,40.09,13.02,76,1553362470
Mabaruma,GY,-59.78,8.2,75,82.39,82.39,7.99,44,1553362473
Berzasca,RO,21.95,44.65,35,55.39,55.39,5.75,0,1553362473
Saint-Lo,FR,-1.09,49.12,87,48.2,55.0,4.7,90,1553362202
Palana,RU,159.95,59.08,62,20.2,20.2,8.21,36,1553362365
Carauari,BR,-66.9,-4.88,73,87.43,87.43,3.96,12,1553362360
Saint-Francois,FR,3.91,46.42,39,64.4,64.4,8.05,0,1553360400
Otjimbingwe,NA,16.13,-22.35,36,79.15,79.15,4.97,32,1553362474
Yar-Sale,RU,70.83,66.83,91,21.37,21.37,7.65,76,1553362293
Rovaniemi,FI,25.72,66.5,86,33.8,33.8,16.11,0,1553361600
Manacapuru,BR,-60.62,-3.3,70,87.8,87.8,8.05,40,1553360400
Hidalgo,US,-98.26,26.1,65,75.2,78.8,16.11,90,1553362442
Harrison,US,-84.82,39.26,45,44.6,52.0,2.51,1,1553362452
Tautira,PF,-149.15,-17.73,78,80.01,80.6,1.12,40,1553361795
Uglegorsk,RU,142.06,49.08,66,1.84,1.84,1.95,8,1553362475
Amapa,HN,-87.97,15.09,45,84.2,84.2,10.29,40,1553360400
Galle,US,-97.91,29.74,64,66.99,73.99,21.92,90,1553362472
Bremerhaven,DE,8.59,53.55,75,44.01,46.99,13.87,75,1553362471
Fremont,US,-121.99,37.55,71,53.01,59.0,8.05,1,1553362400
Dunda,IN,78.32,30.62,61,42.25,42.25,2.95,20,1553362476
Whitehorse,CA,-135.06,60.72,74,35.01,41.0,2.24,75,1553362428
Lincoln,US,-96.67,40.8,70,43.0,48.2,6.93,90,1553362201
Champerico,MX,-93.6,16.38,45,82.4,82.4,6.93,5,1553359620
Alihe,CN,123.73,50.57,74,18.04,18.04,5.19,44,1553362477
Dukat,RS,22.31,42.44,54,48.37,48.37,3.18,0,1553362477
Madimba,CM,9.93,4.42,74,86.0,86.0,3.36,20,1553360400
Tiznit,MA,-9.73,29.7,89,63.13,63.13,5.86,76,1553362477
Kurumkan,RU,110.32,54.33,77,13.99,13.99,3.74,68,1553362477
Bereda,ES,-7.54,43.27,42,60.01,66.2,6.93,0,1553362249
Zyryanka,RU,150.89,65.73,64,-3.93,-3.93,2.73,0,1553362478
Innisfail,CA,-113.95,52.02,92,30.2,43.0,2.24,90,1553362217
Mapiripan,CO,-72.13,2.89,100,83.02,83.02,4.29,44,1553362478
Mvuma,ZW,30.53,-19.28,70,67.9,67.9,14.47,68,1553362478
Massaguet,TD,15.44,12.48,8,102.2,102.2,3.36,64,1553360400
Mercedes,UY,-58.03,-33.25,55,77.53,77.53,5.41,8,1553362479
Ekibastuz,KZ,75.32,51.72,60,18.49,18.49,3.62,0,1553362479
Kautokeino,NO,23.04,69.01,75,29.65,29.65,10.78,24,1553362479
Baykit,RU,96.39,61.68,79,21.01,21.01,2.39,88,1553362310
Chuguyevka,RU,133.87,44.17,62,15.16,15.16,2.95,44,1553362479
Bhadrachalam,IN,80.89,17.67,96,70.15,70.15,2.95,0,1553362479
Roald,NO,6.12,62.58,60,30.0,41.0,29.97,75,1553362331
Marathon,CA,-86.38,48.72,74,33.8,33.8,6.93,75,1553360400
Arlit,NE,7.39,18.74,26,83.29,83.29,5.3,92,1553362294
Kanniyakumari,IN,77.57,8.08,98,85.0,85.0,5.3,0,1553362480
Chapais,CA,-74.86,49.78,34,21.2,21.2,10.29,1,1553360400
Tura,IN,90.21,25.52,57,63.22,63.22,3.85,0,1553362304
Nouadhibou,MR,-17.03,20.93,73,69.8,69.8,18.34,20,1553360400
Qaqortoq,GL,-46.03,60.72,44,17.6,17.6,5.82,40,1553359800
Melhus,NO,10.28,63.29,74,35.01,37.4,32.21,75,1553362468
Clonakilty,IE,-8.87,51.62,65,44.6,44.6,4.7,90,1553360400
Talnakh,RU,88.39,69.49,66,2.29,2.29,5.41,68,1553362296
Challapata,BO,-66.78,-18.9,18,64.12,64.12,6.76,24,1553362481
Calvinia,ZA,19.78,-31.47,26,74.83,74.83,1.95,64,1553362308
Isangel,VU,169.27,-19.55,100,76.99,76.99,15.14,92,1553362275
Leh,IN,77.58,34.16,83,2.83,2.83,0.83,76,1553362481
Waingapu,ID,120.26,-9.65,93,75.28,75.28,5.41,56,1553362481
Ahipara,NZ,173.16,-35.17,100,60.7,60.7,2.39,64,1553362173
Joshimath,IN,79.57,30.57,100,9.67,9.67,0.6,36,1553362375
Dagana,MR,-15.51,16.52,31,81.22,81.22,12.24,0,1553362482
Voh,NC,164.69,-20.95,100,78.88,78.88,10.67,88,1553362482
Yugorsk,RU,63.33,61.32,82,23.71,23.71,4.85,0,1553362482
Jablah,SY,35.93,35.36,87,59.0,59.0,4.7,40,1553360400
Caceres,CO,-74.53,5.53,94,72.67,72.67,2.28,56,1553362483
Avera,US,-82.53,33.19,31,62.6,68.0,4.7,1,1553362313
Trenggalek,ID,111.71,-8.05,97,69.16,69.16,2.17,20,1553362483
Milford,US,-97.05,40.77,87,42.8,46.99,14.99,75,1553362124
Tazovskiy,RU,78.7,67.47,89,23.62,23.62,7.99,88,1553362483
Sonoita,US,-110.66,31.68,35,57.2,66.99,4.7,1,1553362473
Nicoya,CR,-85.45,10.15,38,91.4,91.4,17.22,0,1553360400
Jumla,NP,82.18,29.28,89,22.99,22.99,2.28,0,1553362484
Kampot,KH,104.18,10.62,88,78.8,78.8,3.36,20,1553360400
Pundaguitan,PH,126.17,6.37,100,80.05,80.05,7.43,0,1553362484
Goure,NE,10.27,13.98,18,91.48,91.48,4.74,0,1553362484
Teahupoo,PF,-149.27,-17.83,78,80.01,80.6,1.12,40,1553362392
Chihuahua,MX,-106.08,28.66,17,64.4,73.0,4.7,5,1553362432
Shuyskoye,RU,41.03,59.37,83,28.12,28.12,9.89,56,1553362309
Vieux-Habitants,GP,-61.77,16.06,48,87.8,87.8,12.75,75,1553360400
Mudgee,AU,149.59,-32.6,100,64.0,68.0,4.7,0,1553362346
Biltine,TD,20.93,14.53,21,86.71,86.71,6.53,56,1553362485
Kabanjahe,ID,98.49,3.1,88,80.01,80.6,3.36,40,1553356800
Touros,BR,-35.46,-5.2,74,86.0,86.0,6.93,40,1553360400
Shitkino,RU,98.35,56.37,89,24.97,24.97,3.4,68,1553362486
Suntar,RU,117.65,62.16,69,13.09,13.09,8.77,80,1553362486
Melita,CA,-100.98,49.27,91,39.0,39.0,3.0,0,1553362486
Mao,DO,-71.08,19.55,45,82.99,90.0,16.11,40,1553362260
Lagoa,PT,-8.45,37.14,59,64.0,69.01,13.87,0,1553362033
Taunggyi,MM,97.03,20.78,67,58.09,58.09,3.4,0,1553362356
Sacramento,US,-121.49,38.58,93,42.01,55.99,5.82,90,1553362263
Manali,IN,77.19,32.25,87,7.6,7.6,1.61,76,1553362487
Kurilsk,RU,147.88,45.23,100,21.37,21.37,12.57,56,1553362334
Tefe,BR,-64.71,-3.35,83,80.6,80.6,5.82,40,1553360400
Solwezi,ZM,26.4,-12.18,66,72.4,72.4,7.2,68,1553362490
Ippy,CF,21.2,6.26,26,89.32,89.32,7.99,12,1553362490
Ulladulla,AU,150.48,-35.36,83,57.0,72.0,5.82,8,1553362259
Larsnes,NO,5.58,62.2,60,30.0,41.0,29.97,75,1553362331
Verkhnevilyuysk,RU,120.31,63.45,69,13.0,13.0,9.33,88,1553362324
Mahuva,IN,71.76,21.09,83,82.21,82.21,4.18,0,1553362491
Oriximina,BR,-55.87,-1.77,80,82.57,82.57,4.41,88,1553362491
Lithgow,AU,150.16,-33.48,94,66.99,68.0,4.7,36,1553362387
Siocon,PH,124.04,11.03,100,78.07,78.07,13.69,0,1553362491
Anloga,GH,0.9,5.79,74,86.0,86.0,14.99,20,1553360400
Chernyshevskiy,RU,112.47,63.01,56,5.53,5.53,8.21,68,1553362492
Iranshahr,IR,60.69,27.21,82,60.8,60.8,6.93,75,1553360400
Axim,GH,-2.24,4.87,93,84.64,84.64,10.89,12,1553362292
Okha,RU,142.95,53.59,79,-1.32,-1.32,11.45,24,1553362492
Adrar,DZ,-0.29,27.87,15,78.8,78.8,6.93,0,1553360400
Mahibadhoo,MV,72.97,3.78,99,85.63,85.63,10.11,0,1553362205
Humaita,AR,-65.37,-24.93,53,69.8,71.6,4.7,40,1553360400
Lerwick,GB,-1.15,60.15,75,44.6,44.6,25.28,20,1553361600
Albacete,ES,-1.86,39.0,41,51.01,59.0,14.99,20,1553362212
Sayansk,RU,102.18,54.11,77,29.65,29.65,5.19,80,1553362493
Altay,CN,88.13,47.83,47,5.17,5.17,5.86,0,1553362493
Dawei,MM,98.19,14.07,93,73.57,73.57,1.83,0,1553362494
Nome,US,-94.42,30.04,47,69.8,75.2,12.75,1,1553362234
Sabzevar,IR,57.68,36.21,83,36.31,36.31,3.4,0,1553362494
Shenjiamen,CN,122.3,29.96,95,49.45,49.45,11.9,0,1553361998
Boavista,AO,13.26,-8.8,78,82.4,82.4,6.93,20,1553360400
Karatau,KZ,70.46,43.18,88,45.4,45.4,8.66,92,1553362494
Zhumadian,CN,114.02,33.01,73,37.21,37.21,2.73,0,1553362494
Neiafu,TO,-173.98,-18.65,88,71.6,71.6,15.03,75,1553360400
Surt,LY,16.59,31.21,98,58.99,58.99,9.22,92,1553362267
Bangkalan,ID,112.74,-7.05,88,78.8,78.8,8.05,20,1553356800
Progreso,UY,-56.22,-34.68,44,75.2,77.0,9.17,40,1553362249
Trapani,IT,12.54,38.02,82,54.0,63.0,9.17,0,1553362402
Aldan,RU,125.39,58.61,89,17.68,17.68,2.73,88,1553362496
Mehamn,NO,27.85,71.03,73,27.4,27.4,5.64,0,1553362279
Vostochnyy,RU,37.87,55.82,59,37.0,37.4,8.95,0,1553361947
Jiayuguan,CN,98.29,39.77,64,14.44,14.44,2.51,0,1553362496
Linares,CL,-71.6,-35.85,40,74.83,74.83,5.64,0,1553362434
Dickinson,US,-102.79,46.88,75,43.0,46.4,9.17,1,1553362342
Manggar,ID,108.27,-2.88,100,76.54,76.54,3.29,12,1553362499
Sriperumbudur,IN,79.95,12.97,83,82.99,84.2,6.93,20,1553360400
Uvat,RU,68.9,59.14,96,32.44,32.44,6.87,88,1553362331
Elko,US,-115.76,40.83,69,39.0,44.01,5.82,90,1553362404
Batticaloa,LK,81.69,7.71,100,79.15,79.15,5.64,0,1553362500
Tshikapa,CD,20.79,-6.42,86,76.54,76.54,2.28,80,1553362355
Kushiro,JP,144.15,43.11,71,5.8,5.8,2.51,0,1553362500
Baghdad,IQ,44.38,33.3,52,66.2,66.2,8.05,40,1553360400
Palu,ID,119.87,-0.9,93,67.0,67.0,1.5,80,1553362500
Nideggen,DE,6.48,50.69,81,46.99,54.0,4.7,90,1553362458
Monrovia,LR,-10.8,6.33,74,86.0,86.0,10.29,40,1553360400
Bathsheba,BB,-59.52,13.22,58,84.2,84.2,18.34,20,1553360400
Gallup,US,-108.74,35.53,52,46.4,46.4,6.93,1,1553359980
Wuda,CN,106.72,39.5,38,25.78,25.78,2.62,56,1553362501
Vila,IT,8.4,45.18,47,62.01,70.0,3.36,0,1553362463
Roebourne,AU,117.15,-20.77,58,82.57,82.57,38.41,92,1553362502
Ketchikan,US,-131.65,55.34,93,44.6,46.4,23.04,90,1553360160
Ikalamavony,MG,46.6,-21.17,83,66.19,66.19,4.74,48,1553362502
Tilichiki,RU,166.1,60.47,41,-14.1,-14.1,2.95,0,1553362260
Kodinar,IN,70.7,20.79,36,74.38,74.38,3.74,0,1553362502
Sorland,NO,12.69,67.67,95,41.08,41.08,39.97,92,1553362305
Pimenteiras,BR,-41.42,-6.24,94,77.35,77.35,4.97,80,1553362503
Orocue,CO,-71.34,4.79,94,85.9,85.9,5.86,32,1553362314
Gilgit,PK,74.31,35.92,89,21.64,21.64,0.38,88,1553362230
Hovd,NO,10.7,63.83,74,35.01,39.0,32.21,75,1553362502
Gazanjyk,TM,55.52,39.24,90,46.12,46.12,7.65,0,1553362503
Ozinki,RU,49.73,51.2,94,34.24,34.24,12.91,92,1553362503
Pombas,BR,-54.74,-15.9,42,94.63,94.63,4.29,8,1553362503
Mananjary,MG,46.8,-19.16,97,61.87,61.87,2.95,92,1553362504
Sandwick,GB,-2.89,54.57,75,42.8,48.0,13.87,80,1553362007
Dorogino,RU,83.32,54.36,78,17.14,17.14,3.18,0,1553362504
Pokhara,NP,83.99,28.21,46,53.32,53.32,4.85,0,1553362504
Abilene,US,-99.73,32.45,52,66.2,73.0,10.29,20,1553362412
Makhachkala,RU,47.5,42.98,93,44.01,44.6,8.95,90,1553360400
Tahoua,NE,5.26,14.89,15,91.57,91.57,8.1,0,1553362508
Osa,RU,55.46,57.28,95,28.93,28.93,4.41,68,1553362508
Margherita,IN,95.67,27.29,100,57.37,57.37,0.49,92,1553362508
Saint-Leu-la-Foret,FR,2.25,49.02,62,51.01,54.0,11.41,90,1553362471
Beaverlodge,CA,-119.43,55.21,74,33.8,33.8,5.82,75,1553360400
Mandalgovi,MN,106.27,45.76,71,17.32,17.32,5.3,0,1553362315
Bhaktapur,NP,85.43,27.67,67,59.0,59.0,3.36,20,1553359800
Sainte-Maxime,FR,6.64,43.31,34,59.0,64.4,1.39,0,1553362486
Huarmey,PE,-78.15,-10.07,55,78.97,78.97,3.96,20,1553362348
Ranong,TH,98.62,9.96,100,82.57,82.57,6.53,0,1553362512
Midland,US,-102.08,32.0,30,66.2,70.0,3.36,0,1553362287
Damavand,IR,52.07,35.72,22,57.2,57.2,9.17,40,1553360400
Bloemfontein,ZA,26.22,-29.12,64,71.6,71.6,5.82,40,1553360400
Banjar,ID,108.54,-7.37,97,71.95,71.95,1.5,44,1553362371
Guanagazapa,GT,-90.64,14.23,44,71.6,93.2,11.41,5,1553360400
Mahina,ML,-10.85,13.76,30,90.13,90.13,10.45,64,1553362513
Sarangani,PH,125.46,5.4,98,80.77,80.77,15.14,12,1553362514
Yokadouma,CM,15.05,3.52,67,80.14,80.14,4.07,24,1553362514
Blythe,US,-114.59,33.61,36,64.4,72.0,4.52,1,1553362301
Zhangye,CN,100.46,38.94,58,29.29,29.29,5.86,44,1553362236
Pocone,BR,-56.62,-16.26,61,92.92,92.92,4.63,0,1553362514
Sur,OM,59.53,22.57,84,75.64,75.64,6.76,12,1553362515
Mackay,CA,-115.58,53.65,64,39.2,39.2,6.93,75,1553360400
Bumba,CD,22.47,2.18,82,77.62,77.62,8.99,80,1553362515
Zhigansk,RU,123.37,66.77,78,8.77,8.77,6.42,68,1553362259
Pachelma,RU,43.32,53.33,96,32.62,32.62,9.44,88,1553362515
Pitimbu,BR,-34.81,-7.47,62,89.6,89.6,10.29,40,1553360400
Nador,MA,-2.93,35.17,67,60.8,62.6,14.99,20,1553360400
Romitan,UZ,64.38,39.93,87,48.2,48.2,6.93,0,1553358600
Evensk,RU,159.24,61.92,93,18.04,18.04,19.06,0,1553362324
Nuuk,GL,-51.74,64.17,40,14.0,17.6,19.46,75,1553359800
Jimenez,PA,-82.37,8.54,28,66.99,96.8,13.87,20,1553362200
Kraksaan,ID,113.42,-7.76,100,74.65,74.65,2.39,68,1553362516
Rognan,NO,15.4,67.1,87,36.0,37.99,32.21,75,1553362269
Gat,SN,-16.54,14.69,57,75.2,75.2,18.34,20,1553360400
Dicabisagan,PH,122.42,17.08,100,69.7,69.7,7.31,24,1553362305
Dali,CN,100.24,25.6,87,50.17,50.17,5.41,20,1553362517
Balaipungut,ID,101.31,1.11,85,76.54,76.54,2.73,36,1553362517
